"","id","ano","mes","aisp","homicidios","lesao_morte","latrocinio","tent_homicidio","estupro","roubo_onibus","roubo_veiculos","furto_veiculos","uso_porte_drogas","date"
"1",1,2014,1,"AISP 06 - Brotas ",5,0,0,3,2,39,53,13,9,2014-01-15
"2",2,2014,1,"AISP 07 - Rio Vermelho ",2,0,0,0,2,8,20,3,8,2014-01-15
"3",3,2014,1,"AISP 09 - Boca do Rio ",0,0,0,0,4,4,47,4,0,2014-01-15
"4",4,2014,1,"AISP 12 - Itapuã ",14,0,0,3,4,20,76,31,14,2014-01-15
"5",5,2014,1,"AISP 14 - Barra ",1,0,0,0,0,1,7,2,11,2014-01-15
"6",6,2014,1,"AISP 15 - Nordeste ",2,0,0,0,1,9,2,1,2,2014-01-15
"7",7,2014,1,"AISP 16 - Pituba ",0,0,0,0,0,4,22,4,4,2014-01-15
"8",8,2014,1,"AISP 01 - Barris ",3,0,0,6,1,4,27,8,12,2014-01-15
"9",9,2014,1,"AISP 02 - Liberdade ",4,1,1,7,1,3,34,17,5,2014-01-15
"10",10,2014,1,"AISP 03 - Bonfim ",9,0,0,4,6,10,26,23,1,2014-01-15
"11",11,2014,1,"AISP 04 - São Caetano ",10,0,1,1,4,20,44,5,2,2014-01-15
"12",12,2014,1,"AISP 05 - Periperi ",22,0,0,10,11,11,30,6,2,2014-01-15
"13",13,2014,1,"AISP 08 - CIA ",2,0,0,0,0,0,9,0,0,2014-01-15
"14",14,2014,1,"AISP 10 - Pau da Lima ",9,0,0,7,1,12,43,4,1,2014-01-15
"15",15,2014,1,"AISP 11 - Tancredo Neves ",24,0,0,12,8,25,51,16,4,2014-01-15
"16",16,2014,1,"AISP 13 - Cajazeiras ",7,0,0,6,7,8,10,1,0,2014-01-15
"17",17,2014,2,"AISP 06 - Brotas ",8,0,0,12,0,22,58,18,3,2014-02-15
"18",18,2014,2,"AISP 07 - Rio Vermelho ",2,0,0,4,0,8,23,8,52,2014-02-15
"19",19,2014,2,"AISP 09 - Boca do Rio ",0,0,0,3,0,3,34,5,2,2014-02-15
"20",20,2014,2,"AISP 12 - Itapuã ",16,0,0,14,7,14,67,25,18,2014-02-15
"21",21,2014,2,"AISP 14 - Barra ",1,0,0,0,0,3,3,4,0,2014-02-15
"22",22,2014,2,"AISP 15 - Nordeste ",1,0,0,0,1,4,0,0,2,2014-02-15
"23",23,2014,2,"AISP 16 - Pituba ",0,0,0,0,1,9,18,4,0,2014-02-15
"24",24,2014,2,"AISP 01 - Barris ",2,0,0,0,1,8,24,15,20,2014-02-15
"25",25,2014,2,"AISP 02 - Liberdade ",10,0,0,3,5,7,44,22,3,2014-02-15
"26",26,2014,2,"AISP 03 - Bonfim ",4,0,1,2,1,6,30,20,4,2014-02-15
"27",27,2014,2,"AISP 04 - São Caetano ",8,0,0,0,4,17,29,5,5,2014-02-15
"28",28,2014,2,"AISP 05 - Periperi ",22,1,0,15,8,16,27,1,1,2014-02-15
"29",29,2014,2,"AISP 08 - CIA ",5,0,0,2,2,0,7,1,1,2014-02-15
"30",30,2014,2,"AISP 10 - Pau da Lima ",4,0,0,3,3,13,35,16,1,2014-02-15
"31",31,2014,2,"AISP 11 - Tancredo Neves ",25,2,1,14,9,18,49,21,8,2014-02-15
"32",32,2014,2,"AISP 13 - Cajazeiras ",11,0,0,6,2,1,18,3,0,2014-02-15
"33",33,2014,3,"AISP 06 - Brotas ",9,0,0,7,4,20,44,20,1,2014-03-15
"34",34,2014,3,"AISP 07 - Rio Vermelho ",1,0,1,3,1,13,24,9,20,2014-03-15
"35",35,2014,3,"AISP 09 - Boca do Rio ",2,0,0,3,1,5,49,4,1,2014-03-15
"36",36,2014,3,"AISP 12 - Itapuã ",10,0,1,2,5,16,66,31,15,2014-03-15
"37",37,2014,3,"AISP 14 - Barra ",0,0,0,0,1,3,10,2,3,2014-03-15
"38",38,2014,3,"AISP 15 - Nordeste ",0,0,0,4,1,5,1,0,1,2014-03-15
"39",39,2014,3,"AISP 16 - Pituba ",1,0,0,0,0,9,33,1,3,2014-03-15
"40",40,2014,3,"AISP 01 - Barris ",5,0,0,2,4,6,25,12,2,2014-03-15
"41",41,2014,3,"AISP 02 - Liberdade ",11,0,0,6,3,17,51,10,6,2014-03-15
"42",42,2014,3,"AISP 03 - Bonfim ",5,0,0,6,1,9,43,12,6,2014-03-15
"43",43,2014,3,"AISP 04 - São Caetano ",14,0,0,2,2,19,44,11,2,2014-03-15
"44",44,2014,3,"AISP 05 - Periperi ",27,0,0,13,9,4,29,9,5,2014-03-15
"45",45,2014,3,"AISP 08 - CIA ",3,0,0,0,0,0,8,1,0,2014-03-15
"46",46,2014,3,"AISP 10 - Pau da Lima ",12,1,0,1,4,18,53,17,2,2014-03-15
"47",47,2014,3,"AISP 11 - Tancredo Neves ",21,0,2,17,10,19,70,18,3,2014-03-15
"48",48,2014,3,"AISP 13 - Cajazeiras ",10,0,0,11,8,3,11,4,3,2014-03-15
"49",49,2014,4,"AISP 06 - Brotas ",10,0,0,5,1,19,61,16,7,2014-04-15
"50",50,2014,4,"AISP 07 - Rio Vermelho ",0,0,0,0,4,7,29,3,2,2014-04-15
"51",51,2014,4,"AISP 09 - Boca do Rio ",2,0,0,1,1,4,64,5,2,2014-04-15
"52",52,2014,4,"AISP 12 - Itapuã ",19,0,2,3,5,19,90,24,9,2014-04-15
"53",53,2014,4,"AISP 14 - Barra ",0,1,0,0,0,2,12,3,1,2014-04-15
"54",54,2014,4,"AISP 15 - Nordeste ",1,0,0,0,1,2,3,0,3,2014-04-15
"55",55,2014,4,"AISP 16 - Pituba ",0,0,0,5,1,8,35,3,1,2014-04-15
"56",56,2014,4,"AISP 01 - Barris ",10,0,0,3,3,8,28,9,10,2014-04-15
"57",57,2014,4,"AISP 02 - Liberdade ",14,1,0,5,4,16,74,21,1,2014-04-15
"58",58,2014,4,"AISP 03 - Bonfim ",13,1,0,5,0,20,51,17,4,2014-04-15
"59",59,2014,4,"AISP 04 - São Caetano ",17,0,0,2,3,10,49,10,5,2014-04-15
"60",60,2014,4,"AISP 05 - Periperi ",34,0,0,18,3,13,32,3,4,2014-04-15
"61",61,2014,4,"AISP 08 - CIA ",9,0,0,0,1,0,20,1,0,2014-04-15
"62",62,2014,4,"AISP 10 - Pau da Lima ",18,0,1,9,5,10,43,15,2,2014-04-15
"63",63,2014,4,"AISP 11 - Tancredo Neves ",16,0,0,15,2,34,68,15,4,2014-04-15
"64",64,2014,4,"AISP 13 - Cajazeiras ",14,1,0,5,4,5,27,6,0,2014-04-15
"65",65,2014,5,"AISP 06 - Brotas ",3,0,1,1,2,23,48,14,10,2014-05-15
"66",66,2014,5,"AISP 07 - Rio Vermelho ",1,0,0,3,1,2,18,5,1,2014-05-15
"67",67,2014,5,"AISP 09 - Boca do Rio ",3,0,0,1,2,5,41,6,1,2014-05-15
"68",68,2014,5,"AISP 12 - Itapuã ",8,1,1,5,9,5,72,13,9,2014-05-15
"69",69,2014,5,"AISP 14 - Barra ",0,0,0,0,1,1,5,3,3,2014-05-15
"70",70,2014,5,"AISP 15 - Nordeste ",2,0,0,0,2,6,1,1,4,2014-05-15
"71",71,2014,5,"AISP 16 - Pituba ",1,0,0,0,1,11,44,4,1,2014-05-15
"72",72,2014,5,"AISP 01 - Barris ",3,0,0,1,1,5,22,7,8,2014-05-15
"73",73,2014,5,"AISP 02 - Liberdade ",20,0,1,5,3,6,50,16,18,2014-05-15
"74",74,2014,5,"AISP 03 - Bonfim ",9,0,0,4,1,10,26,15,1,2014-05-15
"75",75,2014,5,"AISP 04 - São Caetano ",15,0,1,1,9,9,40,3,5,2014-05-15
"76",76,2014,5,"AISP 05 - Periperi ",13,0,1,22,5,1,35,3,0,2014-05-15
"77",77,2014,5,"AISP 08 - CIA ",0,0,0,0,1,0,16,3,0,2014-05-15
"78",78,2014,5,"AISP 10 - Pau da Lima ",7,0,0,4,3,12,37,21,0,2014-05-15
"79",79,2014,5,"AISP 11 - Tancredo Neves ",16,0,0,11,7,21,57,24,6,2014-05-15
"80",80,2014,5,"AISP 13 - Cajazeiras ",6,0,0,7,3,3,26,7,0,2014-05-15
"81",81,2014,6,"AISP 06 - Brotas ",3,0,0,4,3,15,25,7,5,2014-06-15
"82",82,2014,6,"AISP 07 - Rio Vermelho ",1,0,0,0,3,9,16,4,4,2014-06-15
"83",83,2014,6,"AISP 09 - Boca do Rio ",1,0,0,1,1,8,35,9,1,2014-06-15
"84",84,2014,6,"AISP 12 - Itapuã ",12,0,0,3,3,11,50,23,13,2014-06-15
"85",85,2014,6,"AISP 14 - Barra ",0,0,0,0,0,3,5,4,2,2014-06-15
"86",86,2014,6,"AISP 15 - Nordeste ",2,0,0,0,2,3,1,1,1,2014-06-15
"87",87,2014,6,"AISP 16 - Pituba ",1,0,0,0,2,6,16,4,16,2014-06-15
"88",88,2014,6,"AISP 01 - Barris ",1,1,0,0,2,10,11,15,12,2014-06-15
"89",89,2014,6,"AISP 02 - Liberdade ",13,0,0,10,4,4,41,9,5,2014-06-15
"90",90,2014,6,"AISP 03 - Bonfim ",12,0,0,6,4,12,26,13,5,2014-06-15
"91",91,2014,6,"AISP 04 - São Caetano ",8,1,0,1,4,10,14,7,2,2014-06-15
"92",92,2014,6,"AISP 05 - Periperi ",14,1,1,12,4,3,48,8,1,2014-06-15
"93",93,2014,6,"AISP 08 - CIA ",1,0,0,1,1,1,14,3,0,2014-06-15
"94",94,2014,6,"AISP 10 - Pau da Lima ",7,0,1,4,2,22,29,10,1,2014-06-15
"95",95,2014,6,"AISP 11 - Tancredo Neves ",13,0,0,10,5,39,51,19,5,2014-06-15
"96",96,2014,6,"AISP 13 - Cajazeiras ",8,0,0,8,2,2,25,6,1,2014-06-15
"97",97,2014,7,"AISP 06 - Brotas ",5,0,1,0,1,15,47,9,6,2014-07-15
"98",98,2014,7,"AISP 07 - Rio Vermelho ",2,0,0,0,2,9,19,4,2,2014-07-15
"99",99,2014,7,"AISP 09 - Boca do Rio ",0,1,0,0,1,3,50,2,1,2014-07-15
"100",100,2014,7,"AISP 12 - Itapuã ",7,0,1,3,5,3,74,16,15,2014-07-15
"101",101,2014,7,"AISP 14 - Barra ",0,0,0,0,0,0,10,2,3,2014-07-15
"102",102,2014,7,"AISP 15 - Nordeste ",0,0,0,0,1,2,3,1,1,2014-07-15
"103",103,2014,7,"AISP 16 - Pituba ",0,0,0,1,0,7,30,2,0,2014-07-15
"104",104,2014,7,"AISP 01 - Barris ",1,0,0,1,3,6,21,3,10,2014-07-15
"105",105,2014,7,"AISP 02 - Liberdade ",14,1,0,6,5,3,39,17,4,2014-07-15
"106",106,2014,7,"AISP 03 - Bonfim ",9,0,0,5,2,4,29,22,8,2014-07-15
"107",107,2014,7,"AISP 04 - São Caetano ",3,0,2,0,6,12,30,4,4,2014-07-15
"108",108,2014,7,"AISP 05 - Periperi ",10,0,1,7,5,8,28,6,12,2014-07-15
